state,collection_date,Inpatient Beds Occupied Estimated (All Inpatient),Count LL (All Inpatient),Count UL (All Inpatient),Percentage of Inpatient Beds Occupied Estimated (All Inpatient),Percentage LL (All Inpatient),Percentage UL (All Inpatient),Total Inpatient Beds (All Inpatient),Total LL (All Inpatient),Total UL (All Inpatient),Inpatient Beds Occupied by COVID-19 Patients Estimated (COVID-19 Inpatient),Count LL (COVID-19 Inpatient),Count UL (COVID-19 Inpatient),Percentage of Inpatient Beds Occupied by COVID-19 Patients Estimated (COVID-19 Inpatient),Percentage LL (COVID-19 Inpatient),Percentage UL (COVID-19 Inpatient),Total Inpatient Beds (COVID-19 Inpatient),Total LL (COVID-19 Inpatient),Total UL (COVID-19 Inpatient),Staffed Adult ICU Beds Occupied Estimated (ICU),Count LL (ICU),Count UL (ICU),Percentage of Staffed Adult ICU Beds Occupied Estimated (ICU),Percentage LL (ICU),Percentage UL (ICU),Total Staffed Adult ICU Beds (ICU),Total LL (ICU),Total UL (ICU),geocoded_state
MT,2020/12/01,"1,941","1,941","1,941",67.23,67.23,67.23,"2,887","2,887","2,887",449,449,449,15.55,15.55,15.55,"2,887","2,887","2,887",172,172,172,71.67,71.67,71.67,240,240,240,POINT (-109.645127 47.033521)
ND,2020/12/01,"1,527","1,526","1,528",75.62,75.16,76.08,"2,019","2,014","2,024",451,451,451,22.34,22.1,22.58,"2,019","2,014","2,024",126,126,126,91.3,91.3,91.3,138,138,138,POINT (-100.46931 47.446305)
NH,2020/12/01,"1,974","1,974","1,974",71.24,71.24,71.24,"2,771","2,771","2,771",181,181,181,6.53,6.53,6.53,"2,771","2,771","2,771",166,165,166,58.69,58.69,58.69,282,282,282,POINT (-71.57139 43.680429)
NJ,2020/12/01,"15,278","15,278","15,278",78.44,78.44,78.44,"19,478","19,478","19,478","3,386","3,386","3,386",17.38,17.38,17.38,"19,478","19,478","19,478","1,590","1,590","1,590",68.21,68.21,68.21,"2,331","2,331","2,331",POINT (-74.655514 40.110253)
NV,2020/12/01,"5,974","5,973","5,974",80.08,79.65,80.52,"7,459","7,441","7,477","1,666","1,666","1,666",22.85,22.85,22.85,"7,459","7,441","7,477",748,748,748,84.62,84.62,84.62,884,884,884,POINT (-114.916992 39.283294)
NY,2020/12/01,"40,321","40,321","40,321",75.09,75.09,75.09,"53,696","53,696","53,696","5,592","5,592","5,592",10.41,10.41,10.41,"53,696","53,696","53,696","4,220","4,220","4,220",59.84,59.84,59.84,"7,052","7,052","7,052",POINT (-75.59655 42.921241)
OK,2020/12/01,"6,819","6,813","6,825",72.17,71.9,72.43,"9,449","9,437","9,461","1,657","1,655","1,659",18.08,17.93,18.23,"9,449","9,437","9,461",937,937,937,85.88,85.88,85.88,"1,091","1,091","1,091",POINT (-97.508297 35.583449)
PA,2020/12/01,"24,744","24,580","24,908",76.41,74.67,78.15,"32,382","32,142","32,622","5,939","5,900","5,978",18.51,17.66,19.37,"32,382","32,142","32,622","3,306","3,282","3,330",83.59,81.63,85.54,"3,955","3,924","3,986",POINT (-77.838886 40.896694)
SC,2020/12/01,"7,850","7,850","7,850",80.74,80.74,80.74,"9,723","9,723","9,723",989,987,991,10.17,10.17,10.17,"9,723","9,723","9,723","1,020","1,020","1,020",80.95,80.95,80.95,"1,260","1,260","1,260",POINT (-80.864614 33.878572)
TN,2020/12/01,"12,363","12,363","12,363",75.33,75.33,75.33,"16,411","16,377","16,445","2,603","2,602","2,604",16.34,16.34,16.34,"16,411","16,377","16,445","1,862","1,862","1,862",82.16,82.16,82.16,"2,164","2,092","2,236",POINT (-86.343226 35.842998)
UT,2020/12/01,"3,024","3,023","3,024",57.92,57.92,57.92,"5,220","5,220","5,220",570,570,570,10.92,10.92,10.92,"5,220","5,220","5,220",462,462,462,70.75,70.75,70.75,653,653,653,POINT (-111.678222 39.323779)
VA,2020/12/01,"11,948","11,948","11,948",70.02,70.02,70.02,"17,063","17,063","17,063","1,756","1,755","1,756",10.29,10.29,10.29,"17,063","17,063","17,063","1,432","1,432","1,432",70.82,70.82,70.82,"2,022","2,022","2,022",POINT (-78.666382 37.510861)
AK,2020/12/02,933,933,933,65.02,65.02,65.02,"1,435","1,435","1,435",155,155,155,10.8,10.8,10.8,"1,435","1,435","1,435",103,103,103,81.1,81.1,81.1,127,127,127,POINT (-151.631889 63.631126)
AR,2020/12/02,"5,531","5,531","5,531",73.46,73.46,73.46,"7,529","7,523","7,535","1,089","1,089","1,089",14.46,14.46,14.46,"7,529","7,523","7,535",822,822,822,80.99,80.99,80.99,"1,015","1,015","1,015",POINT (-92.439162 34.899825)
CO,2020/12/02,"7,028","7,028","7,028",69.16,69.16,69.16,"10,162","10,162","10,162","1,977","1,977","1,977",19.45,19.45,19.45,"10,162","10,162","10,162","1,040","1,040","1,040",69.85,69.85,69.85,"1,489","1,489","1,489",POINT (-105.547832 38.998552)
DE,2020/12/02,"1,863","1,863","1,863",73.49,73.49,73.49,"2,535","2,535","2,535",320,320,320,12.62,12.62,12.62,"2,535","2,535","2,535",147,147,147,84.48,84.48,84.48,174,174,174,POINT (-75.452394 38.994926)
FL,2020/12/02,"41,405","41,405","41,405",79.59,79.59,79.59,"52,023","52,023","52,023","4,942","4,942","4,942",9.7,9.7,9.7,"52,023","52,023","52,023","5,106","5,106","5,106",81.66,81.66,81.66,"6,253","6,253","6,253",POINT (-82.420978 28.260731)
HI,2020/12/02,"1,778","1,778","1,778",70.42,70.42,70.42,"2,525","2,525","2,525",58,57,58,2.28,2.28,2.28,"2,525","2,525","2,525",143,143,143,64.13,64.13,64.13,223,223,223,POINT (-157.854309 21.361013)
IA,2020/12/02,"5,145","5,145","5,145",64.38,64.38,64.38,"7,992","7,992","7,992","1,117","1,116","1,118",14.16,14.16,14.16,"7,992","7,992","7,992",541,541,541,78.29,78.29,78.29,691,691,691,POINT (-93.500061 42.074659)
IL,2020/12/02,"20,636","20,551","20,720",70.45,69.39,71.51,"29,291","29,149","29,433","5,724","5,692","5,756",19.54,18.88,20.2,"29,291","29,149","29,433","2,492","2,482","2,502",68.01,67.06,68.97,"3,664","3,649","3,679",POINT (-89.148632 40.124144)
KY,2020/12/02,"8,705","8,705","8,705",73.37,73.37,73.37,"11,864","11,864","11,864","1,846","1,846","1,847",15.56,15.56,15.56,"11,864","11,864","11,864","1,171","1,171","1,171",75.11,75.11,75.11,"1,559","1,559","1,559",POINT (-85.290484 37.526683)
MA,2020/12/02,"11,886","11,885","11,886",70.04,70.04,70.04,"16,970","16,970","16,970","1,265","1,259","1,271",7.45,7.45,7.45,"16,970","16,970","16,970","1,044","1,044","1,044",56.49,56.49,56.49,"1,848","1,848","1,848",POINT (-71.481104 42.151077)
ME,2020/12/02,"1,981","1,978","1,984",69.29,68.58,70,"2,859","2,847","2,871",182,182,183,6.38,6.15,6.61,"2,859","2,847","2,871",230,230,231,72.48,71.53,73.44,318,317,319,POINT (-69.06137 45.117911)
MN,2020/12/02,"7,619","7,606","7,632",75.76,75.19,76.34,"10,056","10,028","10,084","2,000","1,994","2,005",19.89,19.54,20.23,"10,056","10,028","10,084",782,782,782,81.46,81.46,81.46,960,960,960,POINT (-94.198308 46.349153)
MO,2020/12/02,"11,494","11,494","11,494",79.75,79.75,79.75,"14,412","14,412","14,412","2,646","2,645","2,648",18.36,18.36,18.36,"14,412","14,412","14,412","1,559","1,559","1,559",87.09,87.09,87.09,"1,790","1,785","1,795",POINT (-92.477244 38.3675)
MS,2020/12/02,"5,374","5,374","5,374",66.65,66.65,66.65,"8,063","8,063","8,063","1,086","1,086","1,086",13.47,13.47,13.47,"8,063","8,063","8,063",721,721,721,83.93,83.93,83.93,859,859,859,POINT (-89.65344 32.713378)
MT,2020/12/02,"1,971","1,966","1,976",68.25,68.25,68.25,"2,888","2,888","2,888",431,431,431,14.92,14.92,14.92,"2,888","2,888","2,888",169,169,169,72.84,72.84,72.84,232,232,232,POINT (-109.645127 47.033521)
ND,2020/12/02,"1,574","1,573","1,576",78.18,77.58,78.78,"2,014","2,008","2,020",430,430,430,21.35,21.06,21.64,"2,014","2,008","2,020",140,140,140,88.05,88.05,88.05,159,159,159,POINT (-100.46931 47.446305)
NH,2020/12/02,"2,022","2,022","2,022",73,73,73,"2,770","2,770","2,770",185,185,185,6.68,6.68,6.68,"2,770","2,770","2,770",174,174,174,61.7,61.7,61.7,282,282,282,POINT (-71.57139 43.680429)
NJ,2020/12/02,"15,487","15,487","15,487",78.85,78.85,78.85,"19,640","19,640","19,640","3,402","3,402","3,402",17.32,17.32,17.32,"19,640","19,640","19,640","1,611","1,611","1,611",69.08,69.08,69.08,"2,332","2,332","2,332",POINT (-74.655514 40.110253)
NV,2020/12/02,"6,062","6,062","6,062",81.31,81.31,81.31,"7,455","7,455","7,455","1,663","1,663","1,663",22.86,22.86,22.86,"7,455","7,455","7,455",751,751,751,83.17,83.17,83.17,903,903,903,POINT (-114.916992 39.283294)
NY,2020/12/02,"41,033","41,000","41,066",75.99,75.78,76.2,"53,998","53,952","54,044","5,776","5,776","5,776",10.7,10.7,10.7,"53,998","53,952","54,044","4,355","4,355","4,355",61.54,61.54,61.54,"7,077","7,077","7,077",POINT (-75.59655 42.921241)
OK,2020/12/02,"7,120","7,120","7,120",75.34,75.34,75.34,"9,450","9,450","9,450","1,652","1,650","1,653",18.01,18.01,18.01,"9,450","9,450","9,450",935,935,935,86.18,86.18,86.18,"1,085","1,085","1,085",POINT (-97.508297 35.583449)
PA,2020/12/02,"25,073","25,062","25,084",77.61,77.5,77.72,"32,306","32,291","32,321","6,041","6,040","6,042",18.87,18.83,18.91,"32,306","32,291","32,321","3,371","3,371","3,371",84.42,84.42,84.42,"3,993","3,993","3,993",POINT (-77.838886 40.896694)
SC,2020/12/02,"7,970","7,969","7,972",82.07,81.92,82.21,"9,712","9,705","9,719","1,023","1,023","1,023",10.53,10.48,10.58,"9,712","9,705","9,719","1,019","1,019","1,019",80.68,80.68,80.68,"1,263","1,263","1,263",POINT (-80.864614 33.878572)
TN,2020/12/02,"12,562","12,562","12,562",75.81,75.81,75.81,"16,571","16,537","16,605","2,589","2,589","2,589",16.09,16.09,16.09,"16,571","16,537","16,605","1,882","1,882","1,882",82.44,82.44,82.44,"2,181","2,111","2,251",POINT (-86.343226 35.842998)
UT,2020/12/02,"3,184","3,184","3,184",60.94,60.94,60.94,"5,225","5,225","5,225",587,587,587,11.23,11.23,11.23,"5,225","5,225","5,225",466,466,466,71.8,71.8,71.8,649,649,649,POINT (-111.678222 39.323779)
VA,2020/12/02,"12,213","12,213","12,213",71.47,71.47,71.47,"17,089","17,089","17,089","1,791","1,791","1,791",10.48,10.48,10.48,"17,089","17,089","17,089","1,428","1,428","1,429",70.82,70.82,70.82,"2,017","2,017","2,017",POINT (-78.666382 37.510861)
AK,2020/12/03,963,963,963,65.69,65.69,65.69,"1,466","1,466","1,466",149,149,149,10.16,10.16,10.16,"1,466","1,466","1,466",101,101,101,78.91,78.91,78.91,128,128,128,POINT (-151.631889 63.631126)
AR,2020/12/03,"5,551","5,551","5,551",73.32,73.32,73.32,"7,571","7,571","7,571","1,108","1,107","1,109",14.63,14.63,14.63,"7,571","7,571","7,571",818,818,818,83.13,83.13,83.13,984,984,984,POINT (-92.439162 34.899825)
CO,2020/12/03,"6,963","6,963","6,963",68.31,68.31,68.31,"10,193","10,193","10,193","1,956","1,955","1,957",19.19,19.19,19.19,"10,193","10,193","10,193","1,062","1,062","1,062",72.15,72.15,72.15,"1,472","1,472","1,472",POINT (-105.547832 38.998552)
DE,2020/12/03,"1,881","1,881","1,881",74.38,74.38,74.38,"2,529","2,529","2,529",337,337,337,13.33,13.33,13.33,"2,529","2,529","2,529",147,147,147,84.48,84.48,84.48,174,174,174,POINT (-75.452394 38.994926)
FL,2020/12/03,"41,431","41,431","41,431",79.71,79.71,79.71,"51,979","51,979","51,979","4,924","4,922","4,925",9.67,9.67,9.67,"51,979","51,979","51,979","5,071","5,071","5,071",81.06,81.06,81.06,"6,256","6,256","6,256",POINT (-82.420978 28.260731)
HI,2020/12/03,"1,754","1,754","1,754",69.6,69.6,69.6,"2,520","2,520","2,520",61,59,63,2.42,2.42,2.42,"2,520","2,520","2,520",136,136,136,60.99,60.99,60.99,223,223,223,POINT (-157.854309 21.361013)
IA,2020/12/03,"5,042","5,017","5,066",63.14,63.14,63.14,"7,985","7,985","7,985","1,004","1,001","1,008",12.75,12.75,12.75,"7,985","7,985","7,985",533,533,533,77.25,77.25,77.25,690,690,690,POINT (-93.500061 42.074659)
IL,2020/12/03,"20,606","20,525","20,688",70.22,69.2,71.25,"29,344","29,207","29,481","5,527","5,495","5,558",18.83,18.2,19.47,"29,344","29,207","29,481","2,497","2,487","2,507",68.05,67.13,68.97,"3,669","3,655","3,683",POINT (-89.148632 40.124144)
KY,2020/12/03,"8,700","8,686","8,713",73.32,73.32,73.32,"11,865","11,865","11,865","1,831","1,830","1,832",15.43,15.43,15.43,"11,865","11,865","11,865","1,197","1,197","1,197",76.78,76.78,76.78,"1,559","1,559","1,559",POINT (-85.290484 37.526683)
MA,2020/12/03,"12,089","12,089","12,089",71.75,71.75,71.75,"16,849","16,849","16,849","1,273","1,273","1,273",7.56,7.56,7.56,"16,849","16,849","16,849","1,044","1,044","1,045",57.64,57.64,57.64,"1,812","1,812","1,812",POINT (-71.481104 42.151077)
ME,2020/12/03,"2,005","2,005","2,005",69.98,69.98,69.98,"2,865","2,865","2,865",180,180,180,6.28,6.28,6.28,"2,865","2,865","2,865",236,236,236,75.4,75.4,75.4,313,313,313,POINT (-69.06137 45.117911)
MN,2020/12/03,"7,528","7,518","7,539",75.56,75.1,76.03,"9,963","9,940","9,986","1,883","1,878","1,888",18.9,18.6,19.2,"9,963","9,940","9,986",781,781,781,82.38,82.38,82.38,948,948,948,POINT (-94.198308 46.349153)
MO,2020/12/03,"11,474","11,474","11,474",79.64,79.64,79.64,"14,408","14,408","14,408","2,636","2,636","2,636",18.3,18.3,18.3,"14,408","14,408","14,408","1,538","1,538","1,538",86.21,86.21,86.21,"1,784","1,784","1,784",POINT (-92.477244 38.3675)
MS,2020/12/03,"5,317","5,317","5,317",66.06,66.06,66.06,"8,049","8,049","8,049","1,116","1,116","1,116",13.87,13.87,13.87,"8,049","8,049","8,049",731,730,732,84.51,84.51,84.51,865,865,865,POINT (-89.65344 32.713378)
MT,2020/12/03,"1,976","1,976","1,976",68.52,68.52,68.52,"2,884","2,884","2,884",398,398,398,13.8,13.8,13.8,"2,884","2,884","2,884",172,172,172,72.88,72.88,72.88,236,236,236,POINT (-109.645127 47.033521)
ND,2020/12/03,"1,563","1,562","1,564",76.48,76.02,76.94,"2,044","2,039","2,049",426,426,426,20.84,20.61,21.07,"2,044","2,039","2,049",140,140,140,92.72,92.72,92.72,151,151,151,POINT (-100.46931 47.446305)
NH,2020/12/03,"2,054","2,054","2,054",74.15,74.15,74.15,"2,770","2,770","2,770",169,169,169,6.1,6.1,6.1,"2,770","2,770","2,770",182,182,182,64.54,64.54,64.54,282,282,282,POINT (-71.57139 43.680429)
NJ,2020/12/03,"15,536","15,536","15,536",79.24,79.24,79.24,"19,606","19,606","19,606","3,419","3,419","3,419",17.44,17.44,17.44,"19,606","19,606","19,606","1,606","1,606","1,606",68.63,68.63,68.63,"2,340","2,335","2,345",POINT (-74.655514 40.110253)
NV,2020/12/03,"6,063","6,063","6,063",81.37,81.37,81.37,"7,451","7,451","7,451","1,696","1,696","1,696",23.34,23.34,23.34,"7,451","7,451","7,451",761,760,762,84,84,84,906,906,906,POINT (-114.916992 39.283294)
NY,2020/12/03,"41,549","41,549","41,549",76.74,76.74,76.74,"54,141","54,141","54,141","5,707","5,706","5,708",10.54,10.54,10.54,"54,141","54,141","54,141","4,367","4,367","4,367",61.53,61.53,61.53,"7,097","7,097","7,097",POINT (-75.59655 42.921241)
OK,2020/12/03,"7,161","7,161","7,161",75.71,75.71,75.71,"9,458","9,458","9,458","1,626","1,626","1,627",17.73,17.73,17.73,"9,458","9,458","9,458",949,949,949,87.06,87.06,87.06,"1,090","1,090","1,090",POINT (-97.508297 35.583449)
PA,2020/12/03,"24,963","24,961","24,965",77.19,77,77.38,"32,341","32,306","32,376","6,048","6,048","6,048",18.88,18.79,18.98,"32,341","32,306","32,376","3,394","3,393","3,394",84.29,84.2,84.38,"4,026","4,024","4,028",POINT (-77.838886 40.896694)
SC,2020/12/03,"7,970","7,970","7,970",82.11,82.11,82.11,"9,707","9,707","9,707","1,002","1,002","1,002",10.32,10.32,10.32,"9,707","9,707","9,707","1,000","1,000","1,000",79.3,79.3,79.3,"1,261","1,261","1,261",POINT (-80.864614 33.878572)
TN,2020/12/03,"12,549","12,549","12,549",75.78,75.78,75.78,"16,560","16,525","16,595","2,613","2,613","2,613",16.25,16.25,16.25,"16,560","16,525","16,595","1,921","1,921","1,921",84.43,84.43,84.43,"2,177","2,107","2,247",POINT (-86.343226 35.842998)
UT,2020/12/03,"3,157","3,157","3,157",60.43,60.43,60.43,"5,224","5,224","5,224",585,585,585,11.2,11.2,11.2,"5,224","5,224","5,224",459,459,459,70.29,70.29,70.29,653,653,653,POINT (-111.678222 39.323779)
VA,2020/12/03,"12,260","12,260","12,260",71.71,71.71,71.71,"17,096","17,096","17,096","1,770","1,770","1,770",10.35,10.35,10.35,"17,096","17,096","17,096","1,432","1,432","1,432",71.14,71.14,71.14,"2,013","2,013","2,013",POINT (-78.666382 37.510861)
AK,2020/12/04,960,959,961,64.86,64.86,64.86,"1,480","1,480","1,480",164,164,164,11.08,11.08,11.08,"1,480","1,480","1,480",101,101,101,77.1,77.1,77.1,131,131,131,POINT (-151.631889 63.631126)
AR,2020/12/04,"5,669","5,669","5,669",74.48,74.48,74.48,"7,611","7,611","7,611","1,079","1,079","1,079",14.18,14.18,14.18,"7,611","7,611","7,611",828,828,828,81.5,81.5,81.5,"1,016","1,016","1,016",POINT (-92.439162 34.899825)
CO,2020/12/04,"6,949","6,949","6,949",68.29,68.29,68.29,"10,175","10,175","10,175","1,839","1,838","1,840",18.07,18.07,18.07,"10,175","10,175","10,175","1,042","1,042","1,042",72.31,72.31,72.31,"1,441","1,441","1,441",POINT (-105.547832 38.998552)
DE,2020/12/04,"1,836","1,836","1,836",72.14,72.14,72.14,"2,545","2,545","2,545",357,357,357,14.03,14.03,14.03,"2,545","2,545","2,545",147,147,147,84.48,84.48,84.48,174,174,174,POINT (-75.452394 38.994926)
FL,2020/12/04,"41,203","41,203","41,203",79.33,79.33,79.33,"51,942","51,942","51,942","4,988","4,988","4,988",9.8,9.8,9.8,"51,942","51,942","51,942","5,061","5,061","5,061",80.6,80.6,80.6,"6,279","6,279","6,279",POINT (-82.420978 28.260731)
HI,2020/12/04,"1,704","1,704","1,704",67.62,67.62,67.62,"2,520","2,520","2,520",64,64,64,2.54,2.54,2.54,"2,520","2,520","2,520",130,130,130,60.19,60.19,60.19,216,216,216,POINT (-157.854309 21.361013)
IA,2020/12/04,"5,075","5,075","5,075",63.61,63.61,63.61,"7,978","7,978","7,978",976,975,976,12.39,12.39,12.39,"7,978","7,978","7,978",527,526,528,76.6,76.6,76.6,688,688,688,POINT (-93.500061 42.074659)
IL,2020/12/04,"20,522","20,441","20,603",69.99,68.97,71.01,"29,322","29,186","29,458","5,510","5,479","5,541",18.79,18.16,19.42,"29,322","29,186","29,458","2,503","2,493","2,513",67.9,66.99,68.81,"3,686","3,672","3,700",POINT (-89.148632 40.124144)
KY,2020/12/04,"8,490","8,490","8,490",71.56,71.56,71.56,"11,864","11,864","11,864","1,749","1,749","1,749",14.74,14.74,14.74,"11,864","11,864","11,864","1,180","1,180","1,180",75.69,75.69,75.69,"1,559","1,559","1,559",POINT (-85.290484 37.526683)
MA,2020/12/04,"11,880","11,880","11,880",71.49,71.49,71.49,"16,618","16,618","16,618","1,316","1,316","1,316",7.92,7.92,7.92,"16,618","16,618","16,618","1,048","1,048","1,048",60.61,60.61,60.61,"1,729","1,729","1,729",POINT (-71.481104 42.151077)
ME,2020/12/04,"1,947","1,947","1,947",67.82,67.82,67.82,"2,871","2,871","2,871",191,191,191,6.65,6.65,6.65,"2,871","2,871","2,871",230,228,231,72.74,71.82,73.66,316,315,316,POINT (-69.06137 45.117911)
MN,2020/12/04,"7,521","7,521","7,521",75.7,75.7,75.7,"9,935","9,935","9,935","1,821","1,821","1,821",18.33,18.33,18.33,"9,935","9,935","9,935",769,769,769,80.1,80.1,80.1,960,960,960,POINT (-94.198308 46.349153)
MO,2020/12/04,"11,459","11,459","11,459",80.21,80.21,80.21,"14,287","14,287","14,287","2,554","2,552","2,557",17.88,17.88,17.88,"14,287","14,287","14,287","1,572","1,571","1,572",88.41,88.22,88.61,"1,778","1,776","1,779",POINT (-92.477244 38.3675)
MS,2020/12/04,"5,167","5,167","5,167",64.3,64.3,64.3,"8,036","8,036","8,036","1,109","1,109","1,109",13.8,13.8,13.8,"8,036","8,036","8,036",718,716,719,83.43,83.43,83.43,860,860,860,POINT (-89.65344 32.713378)
MT,2020/12/04,"1,939","1,939","1,939",67.21,67.21,67.21,"2,885","2,885","2,885",412,412,412,14.28,14.28,14.28,"2,885","2,885","2,885",170,170,170,73.91,73.91,73.91,230,230,230,POINT (-109.645127 47.033521)
ND,2020/12/04,"1,507","1,507","1,507",74.05,74.05,74.05,"2,035","2,035","2,035",400,398,403,19.68,19.68,19.68,"2,035","2,035","2,035",139,139,139,90.85,90.85,90.85,153,153,153,POINT (-100.46931 47.446305)
NH,2020/12/04,"1,977","1,977","1,977",71.37,71.37,71.37,"2,770","2,770","2,770",162,162,162,5.85,5.85,5.85,"2,770","2,770","2,770",180,180,180,63.83,63.83,63.83,282,282,282,POINT (-71.57139 43.680429)
NJ,2020/12/04,"15,446","15,446","15,446",78.67,78.67,78.67,"19,635","19,635","19,635","3,375","3,374","3,376",17.19,17.19,17.19,"19,635","19,635","19,635","1,602","1,602","1,602",68.64,68.64,68.64,"2,334","2,334","2,334",POINT (-74.655514 40.110253)
NV,2020/12/04,"6,032","6,032","6,032",80.78,80.78,80.78,"7,467","7,467","7,467","1,820","1,820","1,820",24.95,24.95,24.95,"7,467","7,467","7,467",775,754,796,85.54,80.44,90.64,906,900,912,POINT (-114.916992 39.283294)
NY,2020/12/04,"41,378","41,378","41,378",76.38,76.38,76.38,"54,176","54,176","54,176","5,770","5,770","5,770",10.65,10.65,10.65,"54,176","54,176","54,176","4,353","4,353","4,353",61.35,61.35,61.35,"7,095","7,095","7,095",POINT (-75.59655 42.921241)
OK,2020/12/04,"6,828","6,826","6,831",71.89,71.66,72.12,"9,499","9,487","9,511","1,641","1,641","1,641",17.8,17.69,17.92,"9,499","9,487","9,511",999,999,999,90.16,89.98,90.34,"1,108","1,107","1,109",POINT (-97.508297 35.583449)
PA,2020/12/04,"24,848","24,799","24,897",76.46,76.05,76.87,"32,498","32,455","32,541","6,029","6,028","6,030",18.74,18.63,18.86,"32,498","32,455","32,541","3,355","3,354","3,356",83.19,83.08,83.31,"4,033","4,031","4,035",POINT (-77.838886 40.896694)
SC,2020/12/04,"7,992","7,992","7,992",82.33,82.33,82.33,"9,707","9,707","9,707","1,017","1,017","1,017",10.48,10.48,10.48,"9,707","9,707","9,707","1,016","1,015","1,018",80.8,80.8,80.8,"1,258","1,258","1,258",POINT (-80.864614 33.878572)
TN,2020/12/04,"12,443","12,443","12,443",75,75,75,"16,590","16,553","16,627","2,593","2,592","2,594",16.1,16.1,16.1,"16,590","16,553","16,627","1,883","1,883","1,883",82.7,82.7,82.7,"2,277","2,208","2,346",POINT (-86.343226 35.842998)
UT,2020/12/04,"3,159","3,159","3,159",60.6,60.6,60.6,"5,213","5,213","5,213",606,606,607,11.63,11.63,11.63,"5,213","5,213","5,213",484,483,485,75.04,75.04,75.04,645,645,645,POINT (-111.678222 39.323779)
VA,2020/12/04,"12,098","12,098","12,098",70.82,70.82,70.82,"17,082","17,082","17,082","1,771","1,771","1,771",10.37,10.37,10.37,"17,082","17,082","17,082","1,424","1,424","1,424",70.32,70.32,70.32,"2,025","2,025","2,025",POINT (-78.666382 37.510861)
AK,2020/12/05,923,923,923,63.44,63.44,63.44,"1,455","1,455","1,455",161,161,161,11.07,11.07,11.07,"1,455","1,455","1,455",96,96,96,75,75,75,128,128,128,POINT (-151.631889 63.631126)
AR,2020/12/05,"5,287","5,287","5,287",70.73,70.73,70.73,"7,475","7,475","7,475","1,079","1,079","1,079",14.43,14.43,14.43,"7,475","7,475","7,475",796,796,796,79.84,79.84,79.84,997,997,997,POINT (-92.439162 34.899825)
CO,2020/12/05,"6,881","6,881","6,881",67.64,67.64,67.64,"10,173","10,173","10,173","1,815","1,815","1,815",17.84,17.84,17.84,"10,173","10,173","10,173","1,051","1,051","1,051",70.77,70.77,70.77,"1,485","1,485","1,485",POINT (-105.547832 38.998552)
DE,2020/12/05,"1,771","1,771","1,771",70.11,70.11,70.11,"2,526","2,526","2,526",383,383,383,15.16,15.16,15.16,"2,526","2,526","2,526",148,148,148,82.22,82.22,82.22,180,180,180,POINT (-75.452394 38.994926)
FL,2020/12/05,"40,329","40,300","40,358",77.78,77.49,78.06,"51,853","51,779","51,927","4,873","4,844","4,902",9.59,9.21,9.97,"51,853","51,779","51,927","4,995","4,989","5,001",79.65,79.38,79.93,"6,271","6,264","6,278",POINT (-82.420978 28.260731)
HI,2020/12/05,"1,706","1,706","1,706",69.43,69.43,69.43,"2,457","2,457","2,457",52,50,54,2.12,2.12,2.12,"2,457","2,457","2,457",137,137,137,61.99,61.99,61.99,221,221,221,POINT (-157.854309 21.361013)
IA,2020/12/05,"4,814","4,814","4,814",60.33,60.33,60.33,"7,980","7,980","7,980",938,936,940,11.91,11.91,11.91,"7,980","7,980","7,980",498,498,498,73.13,73.13,73.13,681,681,681,POINT (-93.500061 42.074659)
IL,2020/12/05,"19,995","19,901","20,089",68.43,67.25,69.62,"29,219","29,061","29,377","5,342","5,308","5,377",18.28,17.57,19,"29,219","29,061","29,377","2,515","2,505","2,526",68.03,67.05,69.01,"3,697","3,681","3,713",POINT (-89.148632 40.124144)
KY,2020/12/05,"8,252","8,244","8,260",69.53,69.53,69.53,"11,869","11,869","11,869","1,695","1,695","1,695",14.28,14.28,14.28,"11,869","11,869","11,869","1,162","1,155","1,168",74.5,74.5,74.5,"1,559","1,559","1,559",POINT (-85.290484 37.526683)
MA,2020/12/05,"11,582","11,581","11,582",71.11,71.11,71.11,"16,286","16,286","16,286","1,296","1,296","1,296",7.96,7.96,7.96,"16,286","16,286","16,286","1,018","1,018","1,018",60.06,60.06,60.06,"1,695","1,695","1,695",POINT (-71.481104 42.151077)
ME,2020/12/05,"1,923","1,923","1,923",67.03,67.03,67.03,"2,869","2,869","2,869",208,206,209,7.23,7.23,7.23,"2,869","2,869","2,869",237,237,237,75.48,75.48,75.48,314,314,314,POINT (-69.06137 45.117911)
MN,2020/12/05,"7,334","7,333","7,336",73.88,73.88,73.88,"9,927","9,927","9,927","1,818","1,818","1,818",18.31,18.31,18.31,"9,927","9,927","9,927",778,778,778,79.96,79.96,79.96,973,973,973,POINT (-94.198308 46.349153)
MO,2020/12/05,"10,995","10,995","10,995",78.58,78.58,78.58,"13,992","13,992","13,992","2,562","2,561","2,563",18.31,18.31,18.31,"13,992","13,992","13,992","1,549","1,547","1,551",87.51,87.51,87.51,"1,770","1,770","1,770",POINT (-92.477244 38.3675)
MS,2020/12/05,"4,949","4,949","4,949",62.31,62.31,62.31,"7,943","7,943","7,943","1,088","1,088","1,088",13.7,13.7,13.7,"7,943","7,943","7,943",689,689,689,81.54,81.54,81.54,845,845,845,POINT (-89.65344 32.713378)
